%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE Software Engineering Repository data set made publicly
% available in order to encourage repeatable, verifiable, refutable, and/or
% improvable predictive models of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://promise.site.uottawa.ca/SERepository .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% 1. Title: QoS data for numerical computation library
%
% 2. Sources
%    (a) Creator: Jia Zhou
%    (b) Date: September 19, 2006
%    (c) Contact: jxz023100 AT utdallas DOT edu Phone: +1 (972) 883 6701
%   
% 3. Donor: Jia Zhou 
%   
% 4. Past Usage: This data was used for:
%
%    Jia Zhou, Kendra Cooper, and I-Ling Yen, "QoS Data Collection: An Approach 
%    to Assist Predictable QoS Behavior Modeling in Component Based Development", 
%    PROMISE - Predictive Models in Software Engineering Workshop, ICSE 2006, 
%    September 24, 2006, Philadelphia, Pennsylvania USA.
%
% We used a QoS data collection approach to measure the QoS data for a library 
% of numerical computation components. Each component in the library is executed
% on three platforms (windows, unix, linux). QoS data for time (reponse time), 
% space (memory usage), and quality (output precision or accuracy) are measured.
% This QoS data allows us to predict the QoS behaviors of a component in the library. 
% The capability of predicting the QoS behaviors can greatly assist the development 
% of a component-based application system to satisfy the QoS requirements.
%
% 5. Number of Instances: 272 
%
% 6. Number of Attributes: 6 
%
% 7. Attribute Information:
%
% componentname:  The name of the component. It is the name of the component file 
% without the ".c" extension name.
%
% time_u: The average response time of a component measured on the Unix platform. 
% The Unix platform runs SunOS 5.9. It equips a 500MHz UltraSPARC IIi processor, 
% 128MB of memory, and 7200RPM of hard drive. The unit is in milliseconds. 
%
% time_w: The average response time of a component measured on the Windows platform. 
% The Windows platform runs Windows XP. It equips a 2.8GHz Intel Pentium 4 CPU, 
% 1GB of memory, and 7200RPM of hard drive. The unit is in milliseconds.
%
% time_l: The average response time of a component measured on the Linux platform. 
% The Linux platform runs Linux Fedora Core 4. It equips a 2.66GHz Intel Pentium 4 
% CPU, 1GB of memory, and 7200RPM of hard drive. The unit is in milliseconds.
%
% memory: The average memory usage of a component. The unit is in bytes. Measurement 
% of memory only considers statically allocated memory (i.e., array) and dynamically 
% allocated memory (i.e., memory allocated through routine "malloc", "alloc", etc.). 
% The stack, heap, and other memory allocated by system for execution are not counted 
% since their sizes depend on compiler and platform. 
%
% quality: The average output accuracy or precison of a component. The unit is component 
% dependent. The quality attribute is applied to components that uses approximate 
% algorithms. The value of this attribute is generally computed by using the formula 
% |(actual result) - (optimal result)|/(optimal result). The quality attribute can have 
% unknown values if the component does not compute an approximate value. 
%
% 8. Missing Attributes: quality/254
%
% 9. Distribution of Class Values: N/A
%

@RELATION "QoS data: time,space,and quality"
@ATTRIBUTE componentname STRING
@ATTRIBUTE time_u 	 NUMERIC
@ATTRIBUTE time_w 	 NUMERIC
@ATTRIBUTE time_l 	 NUMERIC
@ATTRIBUTE memory 	 NUMERIC
@ATTRIBUTE quality 	 NUMERIC

@DATA
gaussj,52.700000,9.660000,3.700000,558.600000,?
ludcmp,7.170000,1.208000,0.920000,210.240000,?
lubksb,0.240000,0.063000,0.020000,0.000000,?
tridag,0.016600,0.003730,0.002400,200.400000,?
banmul,0.157900,0.015290,0.014200,0.000000,?
bandec,2.616000,0.446700,0.259000,0.000000,?
banbks,0.170000,0.031000,0.020000,0.000000,?
mprove,1.300000,0.202000,0.140000,207.200000,?
svbksb,8.100000,1.297000,1.260000,197.120000,?
svdcmp,68.900000,14.860000,13.400000,214.880000,?
pythag,0.000380,0.000233,0.000070,0.000000,?
cyclic,2.888300,0.091240,0.113100,9950.600000,?
sprsin,0.570000,0.265000,0.120000,0.000000,?
sprsax,0.200000,0.016000,0.010000,0.000000,?
sprstx,0.310000,0.047000,0.030000,0.000000,?
sprstp,7.800000,1.580000,1.400000,204.000000,?
sprspm,2.000000,0.620000,0.200000,0.000000,?
sprstm,11.800000,0.620000,0.800000,0.000000,?
vander,0.550000,0.609000,0.350000,415.360000,?
toeplz,2.890000,0.030140,0.114800,408.560000,?
choldc,0.106000,0.009100,0.009000,0.000000,?
cholsl,0.296000,0.076500,0.048000,0.000000,?
qrdcmp,17.840000,2.156000,1.710000,0.000000,?
qrsolv,0.728700,0.082800,0.070500,0.000000,?
rsolve,0.176000,0.019510,0.018300,0.000000,?
qrupdt,1.855000,0.207800,0.194000,0.000000,?
rotate,0.012400,0.002350,0.001000,0.000000,?
polint,0.360000,0.884600,0.732000,432.800000,?
ratint,0.473800,0.099990,0.097400,427.920000,-12469.380102
spline,0.298000,0.132800,0.059000,2228.760000,8.030900
splint,0.001300,0.000320,0.000100,0.000000,?
locate,0.001300,0.000160,0.000200,0.000000,?
hunt,0.000329,0.000070,0.000032,0.000000,?
polcoe,0.780000,9.702000,9.350000,207.600000,?
polcof,57.440000,37.250000,37.610000,15330.320000,?
polin2,20.380000,3.266000,3.210000,21667.360000,14.307198
bcucof,0.019900,0.002650,0.002500,0.000000,?
bcuint,0.024800,0.005300,0.003100,88.000000,?
splie2,2.070000,0.359000,0.328000,10695.200000,?
splin2,0.086700,0.016420,0.013100,582.800000,?
trapzd,0.003000,0.007800,0.002000,0.000000,?
midinf,0.001700,0.000150,0.000100,0.000000,?
midsql,0.480000,9.139000,4.950000,0.000000,?
midsqu,0.400000,0.145300,0.062000,0.000000,?
midexp,1.000000,5.940000,4.800000,0.000000,?
qgaus,0.001300,0.000460,0.000200,48.000000,?
gauleg,0.805000,0.282600,0.230000,0.000000,?
gaulag,0.123000,0.056100,0.030000,0.000000,?
gauher,2.918000,0.745100,0.714000,0.000000,?
gaujac,0.201500,0.033600,0.027900,0.000000,?
gaucof,19.740000,0.093000,260.350000,14191.520000,?
orthog,0.780000,6.891000,6.540000,53056.400000,?
quad3d,0.266100,0.121240,0.038500,0.000000,?
eulsum,0.000103,0.000049,0.000018,0.000000,?
ddpoly,0.120000,0.954000,0.890000,0.000000,?
poldiv,0.009300,0.001390,0.000800,0.000000,?
ratval,0.054000,0.648400,0.590000,0.000000,?
dfridr,0.008800,0.003890,0.001200,448.000000,386.024398
chebft,2.176000,0.442100,0.431000,213.240000,?
